Product,SerialNumberPattern,flag_keep
PDU,0,TRUE
PDU,10,TRUE
PDU,98,TRUE
PDU,110,TRUE
PDU,111,TRUE
PDU,112,TRUE
PDU,118,TRUE
PDU,120,TRUE
PDU,130,TRUE
PDU,150,TRUE
PDU,170,TRUE
PDU,210,TRUE
PDU,351,TRUE
PDU,370,TRUE
PDU,16108-03,TRUE
PDU,17233-1,TRUE
PDU,19979-03,TRUE
PDU,210-0014-1,TRUE
PDU,30-1064,TRUE
PDU,pp134225g6410,TRUE
PDU,t,TRUE
PDU - Primary,350,TRUE
PDU - Primary,360,TRUE
PDU - Secondary,420,TRUE
PDU - Secondary,422,TRUE
PDU - Secondary,440,TRUE
PDU - Secondary,442,TRUE
PDU - Secondary,450,TRUE
PDU - Secondary,451,TRUE
PDU - Secondary,452,TRUE
Reactor,54,TRUE
RPP,180,TRUE
RPP,185,TRUE
RPP,186,TRUE
RPP,187,TRUE
RPP,189,TRUE
RPP,0000026XX-0820,FALSE
RPP,f180,TRUE
RPP,onymg,TRUE
RPP,onympg,TRUE
RPP,onypmg,TRUE
RPP,onyxpmg,TRUE
RPP,oxypmg,TRUE
RPP,rpp19342,TRUE
STS,410,TRUE
STS,411,TRUE
STS,441,TRUE
STS,14400004,TRUE
STS,00000526X-3421,FALSE
STS,STS,TRUE
